date,GDP,Hours_worked,Real_wage_growth,GDP_Deflator_Inflation,Core_PCE_Inflation,short_term_interest,Consumption_growth,Investment_growth,Spread,expected_inflation,long_term_interest,tfp,GDI
1982-12-31,0.7674939139998394,-161.8542721710998,0.4244484170576601,1.0313596070396613,1.3837248846498174,2.32,1.5016363301498359,-1.0107091073027874,0.9300000000000002,1.187464675,2.6675,-0.5010084005918611,0.291152237210035
1983-03-31,1.7960338369435114,-161.80736640781092,0.2585289233631882,0.7527515121835915,1.3033032123375143,2.165,0.783703445219075,0.9187936261929153,0.8174999999999999,1.2447441666666668,2.64,0.2623475327055867,1.5510610625379506
1983-06-30,2.7301552042494848,-160.68714643340775,0.2260760080140478,0.7386686668569009,0.7621253655558213,2.2,1.9242357070405447,2.4177627278920255,0.6775000000000002,1.2604787583333332,2.635,1.5650827302989212,2.145092216199007
1983-09-30,2.753868607602028,-159.31639950941536,-0.5199270055076144,1.0581218891888788,1.5091929746521515,2.365,1.7455055343432946,4.1412636714198925,0.47499999999999964,1.1881263916666667,2.9075,0.0077319955249197745,2.153159874602961
1983-12-31,2.5335213919802424,-158.0748307497871,0.3880405864271408,0.7546418969000879,0.7962541267190648,2.3575,1.200596773312057,4.599006569412367,0.48,1.1730592499999999,2.9225,1.2167372320922856,2.7683101513513275
1984-03-31,2.527436708012276,-157.16276698138262,0.13427043685819706,1.0083771775584616,1.005481297811306,2.4225,0.4837191156786602,1.879002429310539,0.4500000000000002,1.1632005083333334,2.985,1.4108186562717429,3.284524174576209
1984-06-30,2.31166791448687,-156.3821795740575,0.19531841642951298,0.8516439379312235,1.1645972171932417,2.6375,1.2528561065833443,3.213541363571615,0.375,1.075666875,3.3,0.7152446631768204,2.217164361930779
1984-09-30,1.578137282403791,-156.34164998807864,0.5664683126734182,0.8848717246543014,0.9344115829108546,2.8475,0.35585156399147166,1.2139287046103675,0.4600000000000004,1.0677117833333334,3.2175,-0.4281381502857094,1.671474814426066
1984-12-31,1.258476157766264,-156.38066892168746,0.05246040511402428,0.744829918963319,0.7084632977115479,2.315,0.854939093018281,1.0464141163147644,0.4674999999999998,1.1601353666666667,2.935,-0.6909310166713531,1.5355632206047076
1985-03-31,1.7283264380635988,-156.2553686898574,0.2725453088815777,0.9838925850292668,1.3554900214383991,2.12,1.6514226820866895,0.04812616058256225,0.4525000000000001,1.1459955416666665,2.895,0.11880321014276397,1.6010479686576762
1985-06-30,1.279794826386338,-156.32898369467668,0.3044023334734358,0.6413831473287335,0.8627868144158501,1.98,0.8426174167576406,0.5907260774586476,0.5524999999999998,1.2074908333333332,2.7025,-0.9780223863894351,1.1200471843672677
1985-09-30,1.8547677662301698,-156.5088243560599,0.8646821823050099,0.6019966636882756,1.0224343715603101,1.975,1.7997887843762328,-0.8069934619568286,0.5325000000000002,1.2635359416666667,2.585,0.9612718089165814,1.5448019459820106
1985-12-31,1.0027091488975515,-156.0264774363115,1.3132164026581072,0.5574423009822027,0.7146634790433648,2.025,0.05785796265715959,1.6678316280163585,0.5550000000000002,1.2932743416666668,2.44,-0.6179717743267057,0.8225653182096782
1986-03-31,0.9326045294679286,-155.8623225540132,0.922734729661201,0.4961437512026379,1.0732432442458695,1.9575,0.588813877263128,-0.1894161384164761,0.6149999999999998,1.4011876416666667,2.14,0.4055454311199912,0.9855034417415975
1986-06-30,0.5518009945292057,-156.28190930407158,0.7717543092035706,0.37775003027702425,0.6826628866854811,1.73,0.3300564553297747,0.12570114333882998,0.6675,1.4775528583333335,1.9,-0.4991045009214838,0.3797398359093318
1986-09-30,1.076760969517876,-155.8699445783124,0.832367032811876,0.4090695525908572,0.6857346335233494,1.5525,1.5836437778650847,-0.30470703982725666,0.7175,1.5008912083333334,1.8275,-0.3626315738884462,0.7490960576763683
1986-12-31,0.7862969640282991,-155.68849590718457,0.7863474370962464,0.543474380080422,0.8109940248086644,1.5675,0.37738446921409263,0.5747291538392929,0.7075,1.502479258333333,1.815,-0.9440143142870981,1.034382971384984
1987-03-31,1.0258777724130752,-154.81806435794613,-0.19919385568559766,0.6376379443937097,0.6300522407959086,1.555,0.046624952953422394,-2.3539977316795913,0.6174999999999999,1.5186020500000001,1.7975,-0.9440810520343017,1.317468620289608
1987-06-30,1.4747027794377754,-154.54200148622414,0.0371054150295258,0.690311863217552,0.9668296699236745,1.6625,1.3336820597578125,0.7659375902186127,0.5049999999999999,1.4410621333333333,2.085,1.0926856985281028,1.983617178651631
1987-09-30,1.3504284248897935,-154.1793945384925,0.26059563776489325,0.755004763202205,0.8924037035885846,1.71,1.0518748556513913,0.983268776098889,0.5074999999999998,1.3907955833333334,2.22,-0.08233264580836319,1.9302350762170128
1987-12-31,2.2496015461683783,-153.84246197513642,0.3874301016692505,0.7940182397070394,1.0099692057703002,1.73,0.03194672767001805,-0.1387383062960268,0.5650000000000004,1.3489478583333332,2.28,0.06647222672586557,1.8746560583764893
1988-03-31,1.0248670684649408,-153.90589923297577,0.9474110275649539,0.7803778354101176,0.9615282256576041,1.6675,1.4856716029001404,-0.12441063400636665,0.5825,1.4076209666666664,2.105,0.00681775889239164,1.6960374004717949
1988-06-30,2.0443685566331915,-153.67156781154299,0.23198520020361602,0.9683570547604159,1.2034888089771378,1.7875,0.6359115799741133,1.3782614810974536,0.5175000000000001,1.3900027166666669,2.2275,-0.5095613848546888,1.8837445559199306
1988-09-30,1.527932228282003,-153.67452823790734,0.041422363669479934,1.1888239188545313,1.1463756769699351,1.995,0.6770972918252127,-0.45948916578399945,0.49250000000000016,1.3792301833333331,2.275,-0.12271923239171284,1.8415462257586501
1988-12-31,1.9613265695261894,-152.9905772155859,-0.11260254078167553,0.8600423655695799,1.1104523941569688,2.1175,1.0532768296940276,1.0349443216245646,0.38749999999999973,1.3905821916666667,2.24,-0.254578301802924,1.9983648743557403
1989-03-31,1.7680938623373166,-152.50793191587636,-0.7568142613366691,1.0372760489537391,1.086042273085841,2.3625,0.29118861039787447,0.12856040574291683,0.35749999999999993,1.3444251,2.3025,-0.8295326677004677,1.3645952020108432
1989-06-30,1.6019951524175458,-152.6989528940066,-0.6496977982425156,1.0599653036294399,0.9050464355025767,2.4325,0.5281052266042252,-0.5035949842625342,0.3999999999999999,1.3831262333333334,2.1925,-1.6416843164897685,0.663533677439343
1989-09-30,1.238822440334797,-152.68015999695695,0.16447326733884382,0.7271615183737978,0.7408462263910565,2.27,0.597768370130769,1.2843286148692457,0.4450000000000003,1.4743588,2.0275,-0.5316645286395167,0.9147061154618719
